year,falsetto,count
1958,0,151
1958,2,16
1958,3,5
1958,4,2
1959,0,232
1959,2,19
1959,3,7
1959,4,5
1959,5,4
1959,10,1
1960,0,218
1960,2,27
1960,3,13
1960,4,7
1960,5,3
1960,6,1
1961,0,277
1961,2,27
1961,3,18
1961,4,10
1961,5,2
1961,6,4
1961,10,1
1962,0,265
1962,2,26
1962,3,11
1962,4,6
1962,5,3
1962,6,2
1962,9,1
1962,10,1
1963,0,271
1963,2,19
1963,3,8
1963,4,19
1963,5,8
1963,6,2
1963,7,3
1963,8,1
1963,9,2
1963,10,1
1964,0,313
1964,2,31
1964,3,17
1964,4,22
1964,5,9
1964,6,3
1964,7,5
1964,8,6
1964,9,1
1964,10,3
1965,0,343
1965,2,23
1965,3,19
1965,4,18
1965,5,5
1965,6,9
1965,7,4
1965,8,3
1965,10,2
1966,0,357
1966,2,28
1966,3,23
1966,4,16
1966,5,8
1966,6,6
1966,7,4
1966,8,1
1966,10,4
1967,0,368
1967,2,33
1967,3,26
1967,4,18
1967,5,5
1967,6,3
1967,7,2
1967,8,1
1967,10,5
1968,0,316
1968,2,43
1968,3,22
1968,4,16
1968,5,8
1968,6,9
1968,7,2
1968,8,2
1968,9,3
1968,10,3
1969,0,317
1969,2,35
1969,3,18
1969,4,14
1969,5,7
1969,6,5
1969,7,2
1969,8,2
1969,9,2
1969,10,5
1970,0,281
1970,2,36
1970,3,13
1970,4,23
1970,5,3
1970,6,4
1970,7,6
1970,8,1
1970,10,4
1971,0,287
1971,2,32
1971,3,22
1971,4,13
1971,5,3
1971,6,6
1971,8,4
1971,9,1
1971,10,2
1972,0,279
1972,2,22
1972,3,22
1972,4,10
1972,5,12
1972,6,5
1972,7,3
1972,8,5
1972,9,1
1972,10,3
1973,0,252
1973,2,34
1973,3,17
1973,4,13
1973,5,2
1973,6,4
1973,7,5
1973,8,7
1973,9,4
1973,10,4
1974,0,256
1974,2,34
1974,3,15
1974,4,17
1974,5,4
1974,6,4
1974,7,4
1974,8,3
1974,9,1
1974,10,5
1975,0,223
1975,2,30
1975,3,16
1975,4,21
1975,5,6
1975,6,4
1975,7,3
1975,8,6
1975,10,7
1976,0,250
1976,2,25
1976,3,11
1976,4,17
1976,5,5
1976,7,3
1976,8,2
1976,9,1
1976,10,6
1977,0,215
1977,2,19
1977,3,16
1977,4,17
1977,5,5
1977,6,3
1977,7,4
1977,8,2
1977,9,1
1977,10,2
1978,0,208
1978,2,26
1978,3,16
1978,4,11
1978,5,1
1978,6,6
1978,7,3
1978,8,4
1978,10,3
1979,0,226
1979,2,15
1979,3,14
1979,4,11
1979,5,5
1979,6,5
1979,7,2
1979,8,3
1979,9,2
1979,10,3
1980,0,216
1980,2,27
1980,3,11
1980,4,9
1980,5,5
1980,6,6
1980,7,4
1980,8,1
1980,9,2
1981,0,182
1981,2,31
1981,3,11
1981,4,16
1981,5,2
1981,6,4
1981,7,2
1981,8,1
1981,10,1
1982,0,234
1982,2,26
1982,3,4
1982,4,12
1982,5,1
1982,6,4
1982,7,3
1982,8,2
1983,0,257
1983,2,27
1983,3,18
1983,4,12
1983,5,2
1983,6,3
1983,7,3
1983,8,1
1983,9,1
1984,0,255
1984,2,39
1984,3,12
1984,4,22
1984,5,3
1984,6,1
1984,7,3
1984,8,1
1984,10,1
1985,0,211
1985,2,30
1985,3,19
1985,4,20
1985,5,2
1985,6,2
1985,7,1
1985,8,3
1985,10,1
1986,0,213
1986,2,29
1986,3,19
1986,4,14
1986,5,1
1986,6,3
1986,8,1
1986,9,1
1986,10,1
1987,0,227
1987,2,24
1987,3,10
1987,4,16
1987,5,2
1987,6,3
1987,7,2
1987,8,3
1988,0,227
1988,2,21
1988,3,15
1988,4,8
1988,5,3
1988,7,1
1988,8,2
1988,10,1
1989,0,228
1989,2,28
1989,3,9
1989,4,8
1989,5,4
1989,6,2
1989,9,1
1990,0,210
1990,2,32
1990,3,7
1990,4,13
1990,5,2
1990,6,2
1990,7,1
1990,8,1
1990,9,1
1991,0,190
1991,2,27
1991,3,8
1991,4,13
1991,5,3
1991,6,2
1991,7,2
1991,9,1
1992,0,206
1992,2,19
1992,3,17
1992,4,13
1992,5,4
1992,6,6
1993,0,212
1993,2,19
1993,3,8
1993,4,9
1993,5,5
1993,6,1
1993,7,1
1993,8,2
1994,0,211
1994,2,19
1994,3,12
1994,4,8
1994,5,3
1994,6,3
1995,0,206
1995,2,10
1995,3,12
1995,4,15
1995,5,5
1995,6,2
1995,7,1
1996,0,160
1996,2,14
1996,3,10
1996,4,10
1996,5,4
1996,6,2
1996,7,2
1996,8,3
1996,9,1
1996,10,1
1997,0,170
1997,2,16
1997,3,10
1997,4,10
1997,5,1
1997,6,7
1997,7,1
1997,8,1
1997,10,1
1998,0,213
1998,2,22
1998,3,10
1998,4,7
1998,5,3
1998,6,2
1999,0,213
1999,2,16
1999,3,12
1999,4,9
1999,5,7
1999,6,5
1999,9,1
2000,0,233
2000,2,20
2000,3,10
2000,4,9
2000,6,1
2000,8,1
2001,0,218
2001,2,11
2001,3,7
2001,4,5
2001,5,6
2001,6,5
2001,7,1
2001,8,1
2002,0,218
2002,2,29
2002,3,20
2002,4,5
2002,5,3
2002,6,4
2002,8,2
2002,10,1
2003,0,244
2003,2,18
2003,3,12
2003,4,5
2003,5,5
2003,6,3
2003,8,1
2004,0,229
2004,2,20
2004,3,14
2004,4,12
2004,5,6
2004,6,2
2004,7,1
2004,8,1
2005,0,261
2005,2,29
2005,3,12
2005,4,10
2005,5,5
2005,6,2
2005,8,1
2005,9,1
2006,0,299
2006,2,16
2006,3,8
2006,4,8
2006,5,6
2006,6,2
2007,0,274
2007,2,26
2007,3,12
2007,4,12
2007,5,3
2007,6,2
2007,7,1
2008,0,314
2008,2,24
2008,3,23
2008,4,8
2008,5,3
2008,6,1
2008,7,1
2009,0,333
2009,2,30
2009,3,31
2009,4,6
2009,5,8
2009,6,1
2009,10,1
2010,0,376
2010,2,32
2010,3,16
2010,4,11
2010,5,4
2010,6,1
2010,7,2
2011,0,397
2011,2,21
2011,3,12
2011,4,11
2011,5,1
2011,6,1
2011,8,1
2012,0,301
2012,2,21
2012,3,15
2012,4,7
2012,5,4
2012,7,1
2012,9,1
2013,0,303
