year;duration_ms;instrumentalness;points
1958;145;0.022;542
1959;147;0.025;606
1960;153;0.024;561
1961;154;0.017;500
1962;156;0.03;532
1963;152;0.026;520
1964;158;0.022;469
1965;162;0.027;459
1966;163;0.026;453
1967;169;0.03;426
1968;178;0.042;471
1969;197;0.027;459
1970;207;0.041;529
1971;209;0.032;499
1972;221;0.034;551
1973;231;0.05;623
1974;231;0.054;601
1975;242;0.048;616
1976;243;0.044;640
1977;249;0.047;693
1978;248;0.035;700
1979;260;0.042;686
1980;245;0.024;757
1981;246;0.021;808
1982;245;0.025;745
1983;253;0.028;705
1984;263;0.024;710
1985;269;0.02;769
1986;261;0.031;738
1987;261;0.021;769
1988;262;0.03;796
1989;267;0.022;765
1990;269;0.025;770
1991;268;0.044;807
1992;275;0.03;872
1993;268;0.041;880
1994;259;0.028;913
1995;261;0.039;939
1996;269;0.023;968
1997;263;0.035;934
1998;249;0.018;887
1999;244;0.014;864
2000;245;0.01;914
2001;244;0.005;968
2002;241;0.012;892
2003;243;0.007;854
2004;238;0.014;912
2005;236;0.018;787
2006;230;0.005;747
2007;231;0.007;761
2008;234;0.014;709
2009;228;0.012;637
2010;231;0.025;588
2011;226;0.009;582
2012;232;0.007;710
2013;234;0.004;683
2014;226;0.009;749
2015;221;0.006;667
2016;222;0.006;655
2017;214;0.008;576
2018;207;0.008;449
2019;199;0.009;247
