artist_name,song_title,spotify_id,spotify_song,spotify_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Al Jarreau,After All,5g5EdgkfKVUceOTJtm0Kel,After All,Al Jarreau,0.573,0.487,259533.0,0.192,2.54e-06,1.0,0.0759,-17.308,1.0,0.0291,62.086,4.0,0.26
George Benson,Give Me The Night,62GYoGszQfROZswLee6W3O,Give Me the Night,George Benson,0.314,0.85,222627.0,0.466,0.0234,1.0,0.129,-15.673,1.0,0.0555,109.936,4.0,0.86
Spyro Gyra,Catching The Sun,,,,,,,,,,,,,,,,
Herbie Hancock,Rockit,2nWHzbBWBOePUvAImQv2So,Rockit,Herbie Hancock,0.0317,0.878,325133.0,0.951,0.544,7.0,0.0614,-5.077,1.0,0.069,111.334,4.0,0.607
The Crusaders,Street Life,6Llr9PVC1cirKUwu7Fle83,Street Life - Single Edit,The Crusaders,0.603,0.505,332133.0,0.625,3.98e-05,5.0,0.0823,-8.195,0.0,0.0686,110.791,4.0,0.608
Cannonball Adderley,"Mercy, Mercy, Mercy",6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, Mercy",Cannonball Adderley,0.719,0.544,313200.0,0.425,0.0186,10.0,0.964,-10.231,1.0,0.0346,84.443,4.0,0.348
Herbie Hancock,Chameleon,4Ce66JznW8QbeyTdSzdGwR,Chameleon,Herbie Hancock,0.104,0.581,941360.0,0.672,0.856,8.0,0.0458,-8.279,1.0,0.0602,111.154,4.0,0.808
Stan Getz/Astrud Gilberto,The Girl From Ipanema,3898C4AbdbptwYet6547e5,The Girl From Ipanema,Stan Getz,0.909,0.664,321827.0,0.194,3.85e-05,5.0,0.0829,-15.487,0.0,0.0357,129.863,4.0,0.443
"Grover Washington, Jr.",Mister Magic,,,,,,,,,,,,,,,,
Cannonball Adderley,Country Preacher,7g4LLcIDNC1gVcz97dpVR2,Country Preacher - Live,The Cannonball Adderley Quintet,0.969,0.389,268907.0,0.0605,0.253,2.0,0.805,-24.029,0.0,0.0454,100.21,3.0,0.265
Kenny G,Forever In Love,13cpOnmccZGVGFngLxYN4I,Forever in Love,Kenny G,0.336,0.343,299493.0,0.318,0.158,5.0,0.17,-14.901,1.0,0.0312,81.993,4.0,0.11
Herbie Mann,Memphis Underground,,,,,,,,,,,,,,,,
Kenny G. (Vocal By Lenny Williams),Don't Make Me Wait For Love,4xbJyF9RDa1VLoZNoCFy1r,Don't Make Me Wait for Love,Kenny G,0.493,0.5,245773.0,0.489,0.00013,2.0,0.163,-11.428,1.0,0.0299,84.284,4.0,0.441
George Benson,20/20,1VFY4UhoFOkeXhUHi7KzGj,20/20,George Benson,0.274,0.723,247440.0,0.686,2.88e-05,6.0,0.0616,-11.435,0.0,0.0368,110.322,4.0,0.879
The Blackbyrds,Time Is Movin',6qLs56fv8Qdt88oh7JZkDu,Time Is Movin',The Blackbyrds,0.0247,0.641,282427.0,0.744,0.672,7.0,0.208,-12.576,1.0,0.033,123.996,4.0,0.736
Mac Davis,Texas In My Rear View Mirror,6G6txAgWVFlaX2uCqfMc2Z,Texas In My Rear View Mirror,Mac Davis,0.366,0.539,255267.0,0.379,0.0,2.0,0.173,-13.956,1.0,0.107,75.387,4.0,0.751
Mac Davis,It's Hard To Be Humble,6RnKm1xSMDnPtzWx8K9T8a,It's Hard to Be Humble,Mac Davis,0.252,0.375,256720.0,0.473,0.0,2.0,0.281,-14.177,1.0,0.0587,163.181,3.0,0.584
Four Tops,Ain't No Woman (Like The One I've Got),6q8NBpF6twALMb86FBpLgQ,Ain't No Woman (Like The One I've Got),Four Tops,0.33,0.562,187773.0,0.592,1.25e-05,2.0,0.0882,-9.694,0.0,0.0393,99.05,4.0,0.869
Four Tops,Ain't That Love,67SVvBhxFzSZiNoCGOfdTe,Ain't That Love,Four Tops,0.819,0.572,146667.0,0.786,0.0,1.0,0.55,-8.613,1.0,0.19,146.524,4.0,0.962
Maureen McGovern,Different Worlds,6i9b14YXyWIMiQg26IWYA5,Different Worlds - theme from the TV series Angie,Maureen McGovern,0.037,0.604,138760.0,0.549,0.0,5.0,0.0856,-13.252,1.0,0.055,105.49,4.0,0.704
Maureen McGovern,The Morning After,62QRbVm7DqR3eoqgT7pEfs,The Morning After - Single Version,Maureen McGovern,0.475,0.408,141720.0,0.511,0.0,6.0,0.625,-7.225,1.0,0.0263,80.176,4.0,0.354
Barbra Streisand,Left In The Dark,56Mezqhixz82RQZFcOUz9J,Left In the Dark,Barbra Streisand,0.693,0.428,429733.0,0.273,0.0,6.0,0.115,-20.813,1.0,0.0444,122.292,4.0,0.256
Barbra Streisand With Kim Carnes,"Make No Mistake, He's Mine",0yWTY5DsdlY5bGrVlh7Hxj,"Make No Mistake, He's Mine (feat. Kim Carnes)",Barbra Streisand,0.873,0.156,249267.0,0.0844,0.0,6.0,0.107,-21.035,1.0,0.0315,71.874,4.0,0.0893
Barbra Streisand,Emotion,1NlhlIhzRwORlIPw0PkwOg,Emotion,Barbra Streisand,0.633,0.632,296093.0,0.443,6.84e-06,2.0,0.0896,-16.362,1.0,0.0389,109.573,4.0,0.669
Aerosmith,Falling In Love (Is Hard On The Knees),1oBTw7IkWnEUxiestsAD1V,Falling In Love (Is Hard On The Knees),Aerosmith,0.0144,0.612,205800.0,0.861,0.0,7.0,0.119,-4.571,0.0,0.0293,116.663,4.0,0.888
